ticker,file_name,event_trading_day,total_tokens,neg_count,pos_count,neg_rate,pos_rate,neg_rate_pres,pos_rate_pres,neg_rate_qa,pos_rate_qa
META,2020_Q4_meta_processed.txt,2021-02-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2021_Q1_meta_processed.txt,2021-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2021_Q2_meta_processed.txt,2021-08-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2021_Q3_meta_processed.txt,2021-11-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2021_Q4_meta_processed.txt,2022-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2022_Q1_meta_processed.txt,2022-05-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2022_Q2_meta_processed.txt,2022-08-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2022_Q3_meta_processed.txt,2022-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2022_Q4_meta_processed.txt,2023-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2023_Q1_meta_processed.txt,2023-05-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2023_Q2_meta_processed.txt,2023-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2023_Q3_meta_processed.txt,2023-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2023_Q4_meta_processed.txt,2024-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2024_Q1_meta_processed.txt,2024-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2024_Q2_meta_processed.txt,2024-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MSFT,2007_Q1_msft_processed.txt,2007-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MSFT,2016-Jan-28-MSFT.txt,2016-01-29,8949,76,154,0.0084925690021231,0.0172086266621968,0.0078145350351654,0.0216202135972909,0.0090019569471624,0.0138943248532289
MSFT,2016-Apr-21-MSFT.txt,2016-04-22,9201,90,111,0.0097815454841865,0.0120639060971633,0.0092351408950982,0.0146815060383613,0.0102450783447167,0.0098433105664925
MSFT,2016-Jul-19-MSFT.txt,2016-07-20,9128,103,135,0.0112839614373356,0.0147896581945661,0.0091110563900517,0.0179758680128047,0.0130254588513913,0.0122360371028221
MSFT,2016-Oct-20-MSFT.txt,2016-10-21,8641,70,135,0.0081009142460363,0.0156231917602129,0.0089775561097256,0.0206982543640897,0.0073418268192614,0.0112286763118117
MSFT,2017-Jan-26-MSFT.txt,2017-01-27,9259,66,144,0.0071281995895885,0.0155524354681931,0.0067281335659107,0.0196860204335908,0.0074342356080823,0.0123903926801372
MSFT,2017-Apr-27-MSFT.txt,2017-04-28,9644,73,135,0.007569473247615,0.0139983409373703,0.0068551842330762,0.0208511853756069,0.0079765586846817,0.0100927885398014
MSFT,2017-Jul-20-MSFT.txt,2017-07-21,8718,61,149,0.0069970176646019,0.0170910759348474,0.0077086656034024,0.0191387559808612,0.006456820016142,0.0155367231638418
MSFT,2017-Oct-26-MSFT.txt,2017-10-27,9402,48,161,0.0051052967453733,0.017124016166773,0.0039893617021276,0.019281914893617,0.0061349693251533,0.0151329243353783
MSFT,2018-Jan-31-MSFT.txt,2018-02-01,8923,59,152,0.0066121259666031,0.0170346296088759,0.0053489556800815,0.020886398369842,0.0076045627376425,0.0140084050430258
MSFT,2018-Apr-26-MSFT.txt,2018-04-27,9753,52,160,0.0053316928124679,0.0164052086537475,0.0040537116797567,0.0245756270585254,0.0062004822597313,0.0108508439545297
